SI. No.,Articles of food,Declarations.1
1,Pan Masala,CHEWINGOFPANMASALAISINJURIOUS
,,TO HEALTH
2,Supari,CHEWINGOFSUPARIISINJURIOUSTO
Column1,Articles of food,Declarations
3,"Aspartame(Methylester),Acesulfame",(I)CONTAINS(NAMEOFARTIFICIAL
,"Potassium,Sucraloseand Saccharin Sodium,",SWEETENER)
,Neotamemarketedas“TableTop,(II) NOT RECOMMENDED FOR CHILDREN
,Sweetener”,
4,"Aspartame (Methyl ester), marketed as
“Table Top Sweetener”",“NOT FOR PHENYLKETONURICS”

