Sl. No.,Nutrient,Level of nutrient,Source of nutrient
1,Vitamin A,6 µg RE - 9.9 µg RE per gm of oil,Retinyl acetate or Retinyl palmitate
2,Vitamin D,0.11 µg– 0.16 µg per gm of oil.,"*Cholecalciferol or *Ergocalciferol
(*Only from Plant Source)"
