Sl.No.,Component.1,Level of nutrients.1,Source of nutrients.1
,Iodine content,,
1,(a) Manufacture level,dry(onmillionperparts20-30,Potassium Iodate
,,basis)weight,
,(b)Distributionchannel,,
,including retail level,dry(onmillionperparts15-30,
,,basis)weight,
2,Iron content (as Fe),850-1100 parts per million,"Ferrous
FumaratesulphateorFerrous"
